nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
270,28391,Hamburguesas el Corral Plaza de Las Américas II,Centro Comercial Plaza de Las Américas Carrera 71 D No 6 - 94 Sur Local 1120,NR,Kennedy,No,NA,www.elcorral.com
33,14482,Archies Calle 93,Calle 93 A No 11 - 49,530 45 20 -,Chapinero,Sí,605 05 05,www.archies.co
361,33554,PPC Pollo; Pizza; Carne,Avenida Jiménez No 7  - 45,341 3169 -,Candelaria,NR,NA,www.ppc.com.co
3,8252,Oma Barra de Café Aeropuerto Muelle Nacional,Aeropuerto Nuevo Dorado Muelle Nacional Sur Local 91,NR,Fontibón,NR,NA,http://173.254.122.220/
214,26333,Hamburguesas el Corral Américas,Avenida Américas No 39 A -22,NR,Puente Aranda,No,NA,www.elcorral.com
117,19071,Abasto Café & Despensa,Carrera 6 A No 119 B 52,215 12 86 - 215 12 86,Usaquén,NR,NA,NR
202,26321,Hamburguesas el Corral Unicentro II,Centro Comercial Uncientro Avenida 15 No 124 - 30  Local  409,NR,Usaquén,No,NA,www.elcorral.com
227,26440,Crepes & Waffles,Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local C32,676 76 00 Extensión 755 -,Los Mártires,No,NA,www.Crepesywaffles.com
364,33774,Carbón 100 Santafé,Centro Comercial Santafé Calle 185 No 45 - 03 Local 397,673 07 98 -,Usaquén,NR,NA,carbon100xilvestre.com.co
262,27547,Paneroli-3,Centro Comercial Gran Estación Avenida Calle 26 No 62 - 47 Local 320A,572 32 42 -,Fontibón,No,NA,paneroli.com
347,32845,Kokoriko Calima,Centro Comercial Calima Calle 18 No 28 - 80,NR,Los Mártires,Sí,410 01 11,www.kokoriko.com.co
126,21311,TGI Fridays,Calle 93A No 11 - 27,601 90 90 Extensión 105 -,Chapinero,SÍ,606 44 34,www.fridayscolombia.com.co
98,16701,LA Brasa Roja Pepe Sierra,Avenida 19 No 116 - 40,629 02 57 -,Usaquén,Sí,600 45 65,labrasaroja.com
248,27243,Presto Avenida Chile,Centro Comercial Avenida Chile Calle 72 No 10 - 34 Plazoleta de Comidas,472 46 30 -,Chapinero,Sí,6550 550,www.presto.com.co
320,30771,PPC Pollo; Pizza; Carne,Diagonal 22B No 63 - 30 Local 341,650 91 54 -,Teusaquillo,No,NA,www.ppc.com.co
368,34000,Subway Centro Comercial Calima,Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local R-23,378 62 65 -,Los Mártires,Sí,378 62 65,www.subwaycolombia.com
31,14480,Archies Pepe Sierra,Calle 116 No 17 - 13,637 00 38 - 310 235 19 95,Usaquén,Sí,605 05 05,www.archies.co
